lexeme	frequency	dispersion
know	44687	0.21370561862285017
one	13050	0.24510454706793777
think	21082	0.2616267795407689
thing	10666	0.2667349592104724
say	8784	0.3026623246633282
right	9104	0.3083016490337021
time	7523	0.30917540535286714
much	5470	0.32955855035448517
come	5446	0.3297704832166318
other	4845	0.33817660133791166
something	5418	0.34066283978415174
take	6186	0.3410254639087813
see	8266	0.3433561933876208
make	5711	0.3516729927271038
good	6868	0.3545522727891923
year	6773	0.35481350053184363
more	6191	0.3554577279481756
little	5654	0.36221406165011594
want	5053	0.3738679335644333
way	3962	0.3764562230431293
two	4232	0.38303111091377023
try	3814	0.40654378680615133
back	3757	0.4108451344016544
talk	3308	0.42003765885881406
work	6365	0.4230211620985756
here	4859	0.424655758821816
look	3614	0.4318363218688724
real	3500	0.43405545516009675
pretty	3808	0.43977298829476086
never	3024	0.4413804792604928
like	3768	0.44660168627779223
anything	2458	0.44883577816379855
down	3369	0.4565547510754128
put	3571	0.4584286195830816
big	2701	0.4736429598691635
three	2560	0.4766063438080359
day	3082	0.4784910454381109
live	3399	0.4801350109464321
first	2130	0.49764233568762045
need	2711	0.5006729469193758
five	2220	0.5122864061025059
everything	1971	0.5177070213967484
different	2130	0.5243736157067149
feel	2707	0.5292679132412141
whole	1753	0.545550373990795
problem	2429	0.5476313735841811
old	1977	0.5647696970219528
four	1756	0.5779258688345907
hard	1583	0.5871336629664122
run	1662	0.6078404377348019
end	1368	0.61356903334424
money	2293	0.6220411957191445
week	1493	0.6274191756208819
everybody	1228	0.6352374117676945
away	1208	0.6355027012209814
six	1185	0.6482738851797775
pay	2979	0.6482997515402906
able	1207	0.6502334702654825
area	1544	0.6522637085686209
friend	1270	0.6529831003369879
house	2159	0.6678890836825626
husband	1381	0.6682180465716603
child	2551	0.6767530835420394
enjoy	1565	0.6771130951605351
move	1267	0.6781382781921252
sound	1150	0.679181735359628
person	1149	0.69081425381148
job	1283	0.6926062237020729
grow	1227	0.7011130938889059
na	1085	0.7070097309586438
believe	1014	0.7094929367919974
understand	896	0.7241877318147621
watch	2134	0.7301227291051835
idea	826	0.7360336102239536
best	777	0.7423830924307879
decide	789	0.7518777255904939
name	922	0.755299116589121
fun	912	0.7616774539667603
man	933	0.7650835105176572
seven	695	0.7669676317066433
certain	733	0.7673788761673156
figure	577	0.7879627027967595
wonder	669	0.7929975099731639
business	629	0.817616671044565
woman	1109	0.8274599955944939
consider	474	0.833807529066953
important	590	0.8392358885873688
hate	455	0.8404850939793476
large	509	0.8451359990906254
ahead	427	0.8496862763758145
stick	377	0.8530168341789575
door	430	0.865849458599655
father	447	0.867386792873085
difficult	380	0.8677407115547376
order	300	0.8933912291454474
bill	328	0.9203295867722882
worst	152	0.9367130724104714
fan	217	0.9417247698530099
manage	150	0.9428799211056265
paint	490	0.9536333798585167
transfer	80	0.9676726620859997
central	53	0.9767310755656311
