item	frequency	dispersion	REF	PRED	MOD
ʕas	3	1.8911068611044697	0	0	0
č̓apac-iːɬ-w̓it̓as	2	1.3069567296198898	0	0	0
ḥumiːs	7	3.8585943103036104	0	0	0
ʔu-n̓a·ḥ	19	9.419196748744922	0	0	0
hita-ʼa·qƛ̓i(ƛ)	3	1.7781496533588332	0	0	0
ḥumapt	2	1.3911068611044701	0	0	0
ƛuɬ	7	3.630767391824049	0	0	0
čačim	14	7.182165909634234	0	0	0
ʔu-(w)a(ƛ)	7	3.735476930432704	0	0	0
yac-p̓ič	1	0.8911068611044703	0	0	0
hista-ʼi(ƛ)	4	2.3911068611044706	0	0	0
n̓an̓aːn̓ič	1	0.8911068611044703	0	0	0
ʼas	1	0.8911068611044703	0	0	0
tak-qiːnu(ƛ)	1	0.8911068611044703	0	0	0
qʷi-c-a·pi	1	0.8911068611044703	0	0	0
ḥin-api	1	0.8911068611044703	0	0	0
taːk	2	1.3911068611044701	0	0	0
dup-ciq-inkʷ	1	0.8911068611044703	0	0	0
dup-ʔu-(kʷ)ink	2	1.2589050920392058	0	0	0
ḥaːɬ-api	1	0.8911068611044703	0	0	0
ḥaw̓iɬ	35	17.337556777432464	0	0	0
dup#-ɬaːkʷ	1	0.8911068611044703	0	0	0
wik-p̓iq	1	0.8911068611044703	0	0	0
wik	139	69.01804924695196	0	0	0
ʔuːsuqta	3	1.7442027253167582	0	0	0
ʕačuː	1	0.8911068611044703	0	0	0
ɬaːkʷ	2	1.373057614152522	0	0	0
n̓ač-iːɬa	1	0.8911068611044703	0	0	0
čama-a·piq-qčik	1	0.8911068611044703	0	0	0
ʔuxʷ	1	0.8911068611044703	0	0	0
qʷi-ʔiː-ʼas	1	0.8911068611044703	0	0	0
ʔuxʷ-ʼi·ƛ	2	1.3911068611044701	0	0	0
quʔac-ʼaqƛ	1	0.8911068611044703	0	0	0
wik-yu·	3	1.693999521874253	0	0	0
suč̓as	11	5.7601004064068855	0	0	0
ʕiq-ʕaƛ	1	0.8911068611044703	0	0	0
hin-ʔaɬ-ʼaqstup	1	0.8911068611044703	0	0	0
č̓iḥ-su·qƛ-tisim	2	1.3911068611044701	0	0	0
hiɬ-ʼaqƛ	2	1.3911068611044701	0	0	0
č̓iḥ-waḥsuɬ-maḥsa	1	0.8911068611044703	0	0	0
ƛ̓iʔiːkƛ̓ika	1	0.8911068611044703	0	0	0
ʔu-ca	48	23.823810662204163	0	0	0
kukʷiniksi	1	0.8911068611044703	0	0	0
ʔaƛa-c̓as-qi·	1	0.8911068611044703	0	0	0
ƛ̓iḥ	1	0.8911068611044703	0	0	0
ʕiyaːɬ	1	0.8911068611044703	0	0	0
t̓uḥc̓iti	13	6.495935931149894	0	0	0
his-iːʔas	2	1.3795123117379866	0	0	0
mat-waḥsuɬ	1	0.8911068611044703	0	0	0
hiɬ-qi·	1	0.8911068611044703	0	0	0
