archlexeme	frequency
be	19221
have	5146
do	3322
not	2319
n't	1673
say	1618
one	1493
go	1397
_	1243
know	1209
get	1199
make	1152
think	1036
more	1005
time	999
just	998
so	953
other	885
see	873
people	823
new	800
take	772
now	766
work	745
year	739
use	699
come	695
well	674
look	664
right	638
then	636
only	628
want	605
also	594
two	592
way	571
need	566
back	557
first	556
here	548
find	531
2	507
give	500
day	498
thing	492
tell	488
jack	483
1	477
help	476
many	453
man	452
ask	436
very	434
much	419
good	411
even	410
call	407
world	402
president	398
state	394
most	392
question	386
as	385
service	384
mean	381
up	374
change	371
life	366
leave	363
really	363
something	353
subject	351
let	349
believe	348
such	337
try	336
last	335
set	334
too	331
long	325
place	319
three	318
write	313
same	312
name	310
show	306
please	301
child	300
still	299
end	297
again	296
never	296
there	294
feel	293
hand	292
system	292
school	288
information	286
part	286
group	285
follow	283
run	281
today	281
support	280
little	278
point	278
read	277
sure	273
will	273
become	271
provide	271
send	270
turn	269
include	268
down	267
talk	266
fact	262
own	262
live	259
put	254
keep	253
word	253
number	251
start	251
law	248
case	247
company	246
example	242
money	242
great	241
next	241
open	241
home	240
city	239
issue	239
million	236
woman	236
job	235
american	234
important	233
result	233
book	232
hear	231
sparrow	231
house	230
problem	230
seem	226
america	224
walk	224
3	223
family	222
different	221
begin	220
country	218
date	218
face	218
friend	217
report	217
move	214
order	214
head	211
id	211
watch	209
form	208
program	208
market	207
week	207
area	206
figure	206
reason	206
old	205
united	205
remember	204
Mr.	202
government	202
plan	202
play	201
black	199
like	199
4	197
love	197
meeting	196
stand	196
hold	195
building	194
stop	194
pm	193
kind	192
lot	192
um	192
white	192
best	190
small	190
story	190
10	189
act	189
continue	189
ever	188
business	187
free	185
eye	184
better	183
fall	183
big	181
sit	181
public	180
bring	179
night	178
base	177
care	177
email	177
share	177
anything	176
cost	176
few	176
once	176
person	176
away	175
happen	175
language	175
offer	175
speak	175
high	174
however	174
actually	173
5	172
hong	172
kong	172
power	172
real	172
post	170
receive	170
return	170
later	169
allow	168
elizabeth	167
enough	167
hope	167
study	167
20	166
level	165
pay	165
7	164
center	164
room	164
rule	164
line	163
understand	163
build	162
course	162
four	162
lead	162
second	162
grant	161
light	161
national	161
financial	160
island	160
view	160
measure	159
mind	159
rate	159
term	159
note	157
health	156
yeah	156
increase	155
nothing	155
sequel	155
board	154
door	154
consider	153
lose	153
2001	152
already	152
cause	152
channel	152
york	152
able	151
reach	151
type	151
valley	151
develop	150
interest	150
learn	150
prequel	150
turner	150
design	149
pass	149
office	148
probably	148
thank	148
age	147
court	147
far	147
meet	147
answer	146
community	146
create	146
less	146
member	146
pattern	146
local	145
matter	145
buy	144
wait	144
value	143
address	142
five	142
hour	142
mail	142
postal	142
side	142
force	141
water	141
close	140
god	139
difference	138
month	138
step	138
whole	137
6	136
congress	136
general	136
air	135
always	135
concern	135
list	135
process	135
require	135
sense	135
several	135
agree	134
development	134
early	134
gift	134
states	134
page	133
together	133
control	132
else	132
food	132
past	132
suggest	132
yet	131
animal	130
comment	130
land	130
maybe	130
record	130
someone	130
true	130
deal	129
present	129
thanks	129
hard	128
idea	128
spend	128
color	127
effort	127
risk	127
security	127
style	127
war	127
kid	126
possible	126
ship	126
break	125
may	125
decide	124
effect	124
enron	124
large	124
often	124
street	124
tax	124
top	124
wall	124
account	123
industry	123
nation	123
save	123
bill	122
decision	122
finally	122
human	122
river	122
sound	122
url	122
add	121
minute	121
rather	121
2010	120
individual	120
news	120
contact	119
price	119
re	119
section	119
sign	119
action	118
copyright	118
win	118
fund	117
gibbs	117
grow	117
raise	117
special	117
event	116
appear	115
research	115
available	114
clear	114
describe	114
die	114
document	114
test	114
card	113
career	113
commission	113
explain	113
site	113
text	113
activity	112
file	112
jones	112
young	112
benefit	111
further	111
gun	111
none	111
pick	111
soon	111
statement	111
almost	110
history	110
key	110
bank	109
cut	109
girl	109
reply	109
six	109
correct	108
least	108
visit	108
check	107
dog	107
drive	107
federal	107
opportunity	107
patient	107
30	106
everything	106
major	106
trade	106
twitter	106
8	105
arm	105
full	105
future	105
wife	105
argument	104
attack	104
carry	104
project	104
review	104
standard	104
student	104
lie	103
lower	103
character	102
function	102
guess	102
letter	102
nest	102
sort	102
19	101
U.S.	101
article	101
detail	101
forward	101
kill	101
situation	101
car	100
dear	100
exist	100
governor	100
social	100
credit	99
expect	99
goal	99
heart	99
message	99
moment	99
policy	99
15	98
attend	98
modern	98
respect	98
agent	97
boy	97
evidence	97
international	97
movement	97
ago	96
join	96
moore	96
nature	96
official	96
sorry	96
swann	96
wonder	96
amount	95
east	95
lake	95
addition	94
bush	94
charset	94
exactly	94
expression	94
product	94
reduce	94
request	94
rt	94
science	94
serve	94
source	94
stay	94
everyone	93
mother	93
technology	93
choose	92
game	92
guy	92
husband	92
produce	92
red	92
species	92
charge	91
contain	91
feature	91
fill	91
film	91
protect	91
road	91
sleep	91
wine	91
death	90
discuss	90
don	90
phone	90
theory	90
town	90
accept	89
catch	89
eight	89
miss	89
nine	89
rest	89
seven	89
society	89
certain	88
cover	88
draw	88
fight	88
floor	88
front	88
laugh	88
limit	88
military	88
party	88
vice	88
11	87
approach	87
label	87
mark	87
necessary	87
pretty	87
pull	87
table	87
access	86
billion	86
bit	86
computer	86
current	86
link	86
paper	86
significant	86
simply	86
university	86
version	86
wrong	86
alone	85
chinese	85
claim	85
finish	85
late	85
response	85
rights	85
strong	85
trial	85
author	84
captain	84
culture	84
load	84
music	84
notice	84
quite	84
regard	84
rise	84
similar	84
wildlife	84
window	84
25	83
associate	83
behavior	83
century	83
crisis	83
experience	83
likely	83
park	83
recipient	83
simple	83
assume	82
committee	82
common	82
percent	82
scene	82
sell	82
short	82
thousand	82
2000	81
administration	81
anyone	81
bear	81
class	81
county	81
direct	81
easy	81
foot	81
involve	81
particular	81
ant	80
clark	80
datum	80
determine	80
organization	80
purchase	80
region	80
reporter	80
team	80
voice	80
couple	79
fire	79
longer	79
propose	79
californium	78
certainly	78
enter	78
environment	78
guide	78
june	78
movie	78
period	78
purpose	78
senator	78
user	78
worker	78
dollar	77
enjoy	77
library	77
original	77
third	77
tree	77
No.	76
art	76
bed	76
energy	76
establish	76
position	76
role	76
travel	76
us	76
14	75
antie	75
bar	75
crowd	75
immediately	75
material	75
occur	75
smile	75
structure	75
16	74
alan	74
attempt	74
authority	74
cell	74
fine	74
identify	74
iraq	74
nepthys	74
norrington	74
plain	74
relationship	74
18	73
9	73
campaign	73
clean	73
code	73
complete	73
department	73
hundred	73
low	73
net	73
payment	73
perhaps	73
press	73
relate	73
seek	73
sir	73
stuff	73
successful	73
accord	72
bad	72
college	72
content-	72
emission	72
hang	72
john	72
listen	72
normal	72
reduction	72
remain	72
vegas	72
vo	72
vote	72
wish	72
1996	71
22	71
amendment	71
analysis	71
apply	71
chance	71
compare	71
customer	71
due	71
education	71
firm	71
fun	71
goodwill	71
honor	71
instead	71
main	71
mention	71
middle	71
model	71
population	71
release	71
search	71
single	71
size	71
throw	71
50	70
al	70
detect	70
discussion	70
district	70
dress	70
earlier	70
english	70
extend	70
forget	70
scientific	70
space	70
west	70
construction	69
doe	69
fail	69
hit	69
parent	69
publication	69
wear	69
worth	69
youth	69
2008-11-10	68
21	68
additional	68
alway	68
central	68
chest	68
china	68
eat	68
ground	68
interview	68
jeffery	68
justice	68
las	68
morning	68
practice	68
proposal	68
store	68
summer	68
temple	68
crew	67
focus	67
indicate	67
opinion	67
package	67
quickly	67
season	67
13	66
2007	66
complex	66
double	66
drug	66
fair	66
father	66
loss	66
object	66
pintel	66
ready	66
represent	66
understanding	66
12	65
achieve	65
chapter	65
choice	65
church	65
copy	65
dead	65
drop	65
loan	65
malcolm	65
quality	65
recall	65
respond	65
ride	65
stone	65
adult	64
arrive	64
cc	64
david	64
demand	64
hate	64
north	64
october	64
plant	64
ability	63
biology	63
challenge	63
disease	63
express	63
journal	63
promise	63
sonoma	63
sun	63
teach	63
yhl	63
2002	62
40	62
affect	62
dark	62
debate	62
didn	62
doctor	62
economic	62
especially	62
happy	62
ip	62
liver	62
lord	62
rock	62
sea	62
senate	62
steel	62
texas	62
washington	62
17	61
agency	61
attention	61
body	61
box	61
chair	61
factor	61
gad	61
generation	61
hair	61
interesting	61
lsc	61
personal	61
picture	61
push	61
realize	61
recent	61
refer	61
sale	61
september	61
western	61
appropriate	60
association	60
beach	60
beckett	60
cat	60
define	60
dover	60
fast	60
french	60
influence	60
jerusalem	60
lack	60
ragetti	60
requirement	60
therefore	60
unit	60
2009	59
advance	59
baby	59
bottle	59
fly	59
horse	59
indigenous	59
leader	59
media	59
microsoft	59
safe	59
serious	59
shake	59
stream	59
vince	59
24	58
allan	58
architect	58
architecture	58
contribute	58
davy	58
difficult	58
drink	58
former	58
ian	58
judge	58
march	58
nearly	58
piece	58
success	58
traditional	58
train	58
transfer	58
tv	58
31	57
Dr.	57
avoid	57
before	57
bind	57
bite	57
employee	57
fear	57
latin	57
maintain	57
male	57
mortgage	57
objection	57
perfect	57
prepare	57
publish	57
shop	57
tonight	57
zero	57
block	56
chemical	56
clause	56
club	56
com	56
deposition	56
director	56
earth	56
higher	56
pearl	56
sanchez	56
somebody	56
spot	56
status	56
task	56
tom	56
tomorrow	56
cannibal	55
cap	55
citizen	55
confidential	55
contribution	55
economy	55
july	55
network	55
node	55
option	55
particularly	55
recently	55
sincerely	55
sister	55
solution	55
tasha	55
web	55
beautiful	54
blood	54
direction	54
feeling	54
final	54
grab	54
leg	54
legal	54
membership	54
memory	54
newspaper	54
responsibility	54
restaurant	54
roll	54
specific	54
suppose	54
surprise	54
theme	54
union	54
weight	54
2008-11-09	53
cross	53
depend	53
experiment	53
extension	53
foreign	53
gain	53
huge	53
imagine	53
macau	53
mile	53
nice	53
production	53
religion	53
russian	53
schedule	53
trust	53
welcome	53
wolf	53
1993	52
background	52
bag	52
camp	52
chief	52
dream	52
entire	52
finger	52
glass	52
global	52
half	52
improve	52
input	52
perform	52
range	52
recognize	52
square	52
stock	52
thus	52
total	52
truth	52
update	52
100	51
americans	51
april	51
argue	51
bike	51
blog	51
blue	51
conversation	51
daily	51
degree	51
distance	51
greater	51
jewish	51
older	51
rain	51
relatively	51
shift	51
snake	51
telephone	51
wood	51
anyway	50
arthur	50
capital	50
cent	50
click	50
cold	50
consumer	50
currently	50
dave	50
encode	50
escape	50
fully	50
green	50
jump	50
mission	50
