wordform	frequency	dispersion
right	16527	0.29966075327788916
elissa	2	0.9996101839820489
adams	3	0.9989185151806029
lived	862	0.7527005672563409
charlotte	165	0.9603514208377183
five	2343	0.5020947272779245
years	4339	0.3940039944796779
ok	298	0.9516121963339385
um	531	0.9438698884873097
thing	5192	0.3240068283134148
want	3612	0.4168040300303485
ask	387	0.8509010622923334
remember	1701	0.6559321458339327
books	565	0.9209534597329004
read	1773	0.7832815351990442
child	947	0.826979527779774
teacher	326	0.9162892478063206
parents	995	0.7618214607368722
grandparents	134	0.9530020154383189
enjoying	61	0.9725820141420192
is	55	0.9763752357260355
anything	2750	0.42544857910616435
particular	455	0.8480427408726573
comes	807	0.7277236303217588
mind	540	0.7991688360263568
nothing	738	0.7416387087614474
stories	579	0.9053691523739277
know	47126	0.21760419917182205
people	8847	0.3754725102131629
come	2569	0.450342791462585
told	678	0.8049080398396291
liked	510	0.8355893073744052
hearing	124	0.943945814647576
growing	406	0.8513054052635961
not	42	0.9783983901184872
school	3238	0.637540420046553
everybody	1304	0.6255517939093856
stuff	3158	0.5104589717564568
do	183	0.9611579048083474
always	2898	0.46961066820424935
everything	2263	0.4931359869543026
certain	753	0.7645370661240242
things	6569	0.3500164452084278
more	6460	0.3511040396419055
others	214	0.9106407735826342
english	201	0.9445393349979475
class	432	0.8780227716752211
re	7	0.9931688060765623
recall	78	0.9687335454739061
well	408	0.9437939623270436
thanksgiving	62	0.984284210753737
coming	850	0.7097918493938694
families	311	0.910773798684563
together	854	0.7642262173981178
christmas	410	0.8957267106891852
eating	185	0.93366430143303
dinner	358	0.9195775295602769
talking	1668	0.5449062355737649
are	31	0.9801835808135205
family	2026	0.6654283502093725
tell	1562	0.5790843555463934
happened	642	0.7799522755344066
past	440	0.8413167941876352
make	2955	0.4363226278262051
tells	90	0.961073645289029
lot	1	0.9996101839820489
times	1322	0.6069554257369878
sit	610	0.8005873474918132
reminisce	3	0.9986478353328254
back	3980	0.4058827652253598
time	7449	0.3143083440990728
one	12874	0.24896760702712442
sitting	395	0.8488878052092758
reminiscing	2	0.9990370340649194
company	957	0.8122908686557816
four	1844	0.5700907639179589
hum	698	0.7999185739819441
uh	194	0.9553717758388134
mom	529	0.8723061661296754
took	1113	0.6840934433574088
doctor	301	0.9287797184559217
visit	233	0.9166315328133735
physical	107	0.9649421757474563
tests	103	0.9707205886437918
dia	2	0.9990268488482981
diagnosed	13	0.9943496739187471
having	1463	0.5673419713452494
acute	3	0.9993098744131925
leukemia	17	0.9956280729261519
raleigh	79	0.9809993240719884
momma	6	0.9976941286855817
trips	107	0.9578017216102525
forth	362	0.882988759650868
chapel	11	0.9961876425544528
hill	116	0.9619986481439765
couple	1472	0.5691420872273216
treatments	13	0.9963049268670577
different	2249	0.5151303560542283
shots	46	0.9847292738557835
little	5813	0.3591360202959766
telling	293	0.8954580106728717
way	4065	0.37388414790446994
think	18784	0.2862413752375922
wing	32	0.9902638588390701
hospital	236	0.9395442578526485
six	1267	0.6328405351636447
other	4824	0.3365176713917851
children	2004	0.698940870230994
whole	1770	0.5435890356291287
same	2106	0.5045743587304924
see	6485	0.34735868296308503
turned	319	0.8703363281985428
survivor	2	0.9991277750857254
day	2620	0.5109728933995153
story	676	0.8602082105191685
so	369	0.9383161676424924
primarily	88	0.9678789132065225
dad	650	0.8500365741869573
actually	10	0.9900953398004307
sister	393	0.8740982229180528
wrote	139	0.9497433634054429
room	585	0.8337643017416717
hear	826	0.7510120382923183
much	5815	0.3239601996903288
days	1032	0.7005851403359927
afternoon	148	0.9395618504995396
playing	427	0.8778416604388151
sidewalk	12	0.9935277578017214
kitchen	152	0.9473029237744564
something	6068	0.32378192211963164
pretending	5	0.9942718959009126
act	108	0.9553526399772848
salesman	27	0.9899802159883213
front	452	0.855844925447301
door	404	0.8767005453720537
rang	14	0.9946076994064798
doorbell	5	0.9976904249704475
came	1301	0.6182293784373397
saw	874	0.7709143655505966
glow	3	0.9990283920629383
light	212	0.9266806379032043
lord	110	0.9600393828376016
definitely	776	0.7697401875651716
cured	7	0.9970117191719731
call	1151	0.6676318310010546
fine	423	0.8366769650523619
knew	602	0.7981342535007826
miracle	18	0.99149565276436
say	4132	0.3685061088009578
part	1578	0.5755578854901957
last	2169	0.5160761056029023
beginning	203	0.9122126920144813
end	991	0.6847189378993266
said	3507	0.4654428362921648
parts	249	0.9062626736502273
pretty	3915	0.4377505993831864
old	2129	0.5589533660846335
enough	1499	0.5778244464598726
exactly	1252	0.6883831387204891
waiting	241	0.9166022117352207
anybody	575	0.7928223449965021
goes	1007	0.6843066371718459
interesting	1662	0.6298230689745002
experience	482	0.8454618776742036
obviously	260	0.8971188182679578
several	600	0.7808845140468544
believe	1007	0.7107868015322046
never	3091	0.44000457855956976
known	150	0.9341112163926437
share	149	0.9336957830116763
helped	186	0.9318609008052501
reason	700	0.7437250644071633
earth	97	0.9690628674779865
yet	950	0.6811661114613571
far	1594	0.5677396219173699
ordinary	17	0.9928746693662635
talk	1178	0.6466691787091863
regular	333	0.8874351464047724
basis	191	0.9287266318723206
maybe	14	0.992082691613245
once	1309	0.6138202192104683
while	826	0.7199321602844452
related	120	0.9548159099256477
enjoy	995	0.7759323331244835
reading	595	0.8847161993263748
looking	984	0.6882741332359331
experienced	49	0.9802943836246412
type	1344	0.6529492324454563
like	3095	0.45530260292542296
survived	13	0.9935138688699664
diseases	31	0.9906663292170651
life	1270	0.6810408183188464
threatening	19	0.9903481183583902
try	1600	0.5919433682665693
find	1688	0.5738744984570702
experiences	90	0.9608730273858866
guideposts	2	0.9996101839820489
reader	37	0.9862743403529022
digest	33	0.9921431856271161
cancer	76	0.9800468519964571
interested	442	0.8526914298755092
relate	61	0.9764486927428787
guide	32	0.988490396575298
thank	317	0.8789166668281277
sharing	60	0.9789783301800318
welcome	45	0.9764452976706721
woman	402	0.8830650711884919
voice	109	0.9602452476705181
tape	203	0.9347371442504459
side	693	0.7882736334848848
minutes	558	0.8241795704024527
please	91	0.9560298025611195
name	809	0.7750687711953327
stephanie	9	0.9963077046534099
south	362	0.8836820484013825
age	573	0.8182277004528482
year	3574	0.4865426721309499
finishing	32	0.9817493263868099
freshman	32	0.989088855212517
college	1259	0.756149315770867
hard	1675	0.5778723501680237
wha	4	0.9989984536989308
compared	154	0.9417720425063048
high	1368	0.6584391974063759
decide	262	0.9102679329257193
stay	804	0.7537689839009548
wanted	1078	0.6786245555248372
closer	116	0.9564328902249694
number	720	0.7865332960561263
two	4459	0.37638798456860945
friends	733	0.7738384995015413
here	5599	0.41130417005243924
unc	2	0.999255553257881
nurse	81	0.9733276954558505
anymore	664	0.7732530020080016
decided	482	0.8261253982406247
curriculum	30	0.9885885450263744
heard	1339	0.6354295561921451
extremely	158	0.9431047626690198
education	518	0.8895021280929883
plan	346	0.904891064478593
staying	138	0.9402797539498583
feel	2024	0.5884515371497455
area	1533	0.6475755241342276
take	3510	0.4147756857502881
care	2097	0.681223232962314
older	653	0.7939180677428873
teachers	325	0.94324365198658
happy	327	0.8775594287946278
rather	633	0.7905792919113952
nursing	471	0.9605363104021015
heart	188	0.9335396096901537
sem	1	0.9996796286408287
differently	71	0.9707397245053228
wish	380	0.8549734477737997
horrible	158	0.9376670915650973
bad	1652	0.588186676614187
knows	275	0.8909095398442589
a	21	0.9953629486510753
b	70	0.971633245781623
occasional	28	0.9869224905015143
c	95	0.9724619520430619
now	87	0.9629532807200013
lucky	213	0.9149201077781101
d	81	0.9755508504655882
again	1291	0.6095695373341383
