item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm	language
able		NA	1207	0.370815840933215	0	0.0247453768964419	0	0	0	5	0	1185	0	0.00153610538911854	0	0	0.364056977221093	0	0.650233470265482	1	1	0.997967425349116	1	0.653514715102131	0.650258441902906	1	1	0.998005751399444	English
ahead		NA	427	0.131183400230723	0	0	0	0	0	0	0	24	0	0	0	0	0.00737330586776898	0	0.849686276375815	1	1	1	1	0.987101015826493	0.849718907820654	1	1	1	English
anything		NA	2458	0.755149409290673	0	0	0	0	0	0	0	38	2081	0	0	0.639327062951135	0.0116744009573009	0	0.448835778163799	0.487551877078452	1	1	1	0.981557211477164	0.448853015302192	0.487570601074149	1	1	English
area		NA	1544	0.474349344159804	0.026545672913684	0	0	0	0	7	0	0	1526	0.00215054754476595	0	0.468819364758977	0	0	0.652263708568621	0.655595601802917	1	0.996847604520449	1	1	0.652288758175538	0.655620779368227	1	0.996885887565055	English
away		NA	1208	0.371123062011038	0	0	0	0	0	0	0	100	5	0	0	0.00153610538911854	0.0307221077823707	0	0.635502701220982	0.996509354113765	1	1	1	0.958601038100022	0.635527107136337	0.996547624168165	1	1	English
back		NA	3757	1.15422958938367	0.843791017283044	0.708589371748413	0	5	8	143	54	247	272	0.0439326141287901	0.0165899382024802	0.0835641331680484	0.0758836062224557	0.00399387401170819	0.410845134401654	0.886080932287659	0.973802951472893	0.940989897034853	0.991737903554085	0.902142098965125	0.410860912543203	0.88611496143685	0.973840349508118	0.941026034913942	English
believe		NA	1014	0.311522172913239	0.0136631507870409	0.134753860259217	0	3	54	2	953	0	0	0.000614442155647415	0.292781687165993	0	0	0.0175116014359513	0.709492936791998	1	0.723246800164733	0.998556982597459	0.969883424962019	1	0.709520184236466	1	0.723274575814076	0.998595331289208	English
best		NA	777	0.238710777469021	0.536674074087284	0.158307412787203	0	0	0	526	0	23	201	0.16159828693527	0	0.0617514366425652	0.00706608478994527	0	0.742383092430788	0.915192543129999	1	0.807316971100851	1	0.990019001623662	0.742411602992395	0.915227690284681	1	0.807347975390249	English
big		NA	2701	0.829804131201833	0.0456401067437152	0.280833983040675	0	0	0	2381	0	243	21	0.731493386298247	0	0.00645164263429785	0.0746547219111609	0	0.473642959869163	0.991332371731359	1	0.489116132875109	1	0.902441946737081	0.47366114970528	0.99137044296836	1	0.489134916944657	English
bill		NA	328	0.100768513526176	0.126578593639554	0	0	4	0	0	10	0	310	0	0.00307221077823707	0.0952385341253493	0	0.00122888431129483	0.920329586772288	0.923138509086831	0.997180939389888	1	0.999073421229283	1	0.920364931210558	0.923173961399261	0.997219235235922	1	English
