item	gloss	frequency	rel_freq	flexibility	flexibility_broad	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
able		1207	0.37081584093321474	0	0.02474537689644188	0	0	5	0	1185	0	0.0015361053891185367	0	0	0.3640569772210932	0	0.6502334702654822	1	1	0.9979674253491169	1	0.6535147151021307	0.6502584419029054	1	1	0.9980057513994443
ahead		427	0.13118340023072303	0	0	0	0	0	0	24	0	0	0	0	0.007373305867768976	0	0.8496862763758152	1	1	1	1	0.9871010158264931	0.8497189078206536	1	1	1
anything		2458	0.7551494092906726	0	0	0	0	0	0	38	2081	0	0	0.639327062951135	0.011674400957300879	0	0.44883577816379927	0.48755187707845243	1	1	1	0.9815572114771639	0.44885301530219246	0.48757060107414957	1	1
area		1544	0.4743493441598041	0.026531082840471756	0	0	0	7	0	0	1527	0.002150547544765951	0	0.4691265858368011	0	0	0.6522637085686215	0.6555076740339587	1	0.9968476045204485	1	1	0.6522887581755389	0.6555328482224811	1	0.9968858875650541
away		1208	0.37112306201103845	0	0	0	0	0	0	100	5	0	0	0.0015361053891185367	0.030722107782370733	0	0.6355027012209817	0.9965093541137651	1	1	1	0.9586010381000214	0.6355271071363369	0.996547624168165	1	1
back		3757	1.1542295893836685	0.8437910172830438	0.7085893717484133	5	8	143	54	247	272	0.04393261412879015	0.016589938202480194	0.0835641331680484	0.07588360622245571	0.003993874011708195	0.41084513440165454	0.8860809322876597	0.9738029514728929	0.9409898970348534	0.9917379035540854	0.902142098965125	0.41086091254320295	0.8861149614368508	0.9738403495081184	0.9410260349139417
believe		1014	0.31152217291323925	0.013663150787040923	0.1347538602592167	3	54	2	953	0	0	0.0006144421556474146	0.29278168716599307	0	0	0.01751160143595132	0.7094929367919983	1	0.7232468001647332	0.9985569825974593	0.9698834249620184	1	0.7095201842364657	1	0.7232745758140762	0.9985953312892079
best		777	0.23871077746902059	0.5366740740872836	0.15830741278720273	0	0	526	0	23	201	0.16159828693527006	0	0.061751436642565175	0.007066084789945268	0	0.7423830924307875	0.915192543129999	1	0.8073169711008511	1	0.9900190016236621	0.7424116029923951	0.9152276902846819	1	0.8073479753902484
big		2701	0.8298041312018335	0.045640106743715186	0.28083398304067453	0	0	2381	0	243	21	0.7314933862982471	0	0.006451642634297854	0.07465472191116088	0	0.4736429598691637	0.9913323717313592	1	0.4891161328751085	1	0.9024419467370819	0.47366114970528067	0.9913704429683606	1	0.48913491694465666
bill		328	0.10076851352617601	0.12657859363955407	0	4	0	0	10	0	310	0	0.0030722107782370734	0.09523853412534927	0	0.0012288843112948293	0.9203295867722893	0.9231385090868319	0.9971809393898885	1	0.999073421229283	1	0.920364931210559	0.9231739613992619	0.9972192352359229	1
business		629	0.1932420579511119	0.5174454699362573	0.08435402135673152	0	0	158	0	3	460	0.04854093029614576	0	0.14132169579890538	0.000921663233471122	0	0.8176166710445656	0.8522005310783828	1	0.9450664135164977	1	0.9991185827277211	0.8176480708847679	0.8522332590809343	1	0.9451027079505715
