item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm
able	1207	0	1185	5	0.6502334702654822	1	0.6535147151021304	0.9979674253491166	0.6502584419029054	1	0.6535398127528398	0.998005751399444
ahead	427	0	24	0	0.8496862763758153	1	0.987101015826493	1	0.8497189078206537	1	0.9871389245620388	1
anything	2458	2081	38	0	0.44883577816379927	0.4875518770784523	0.9815572114771636	1	0.44885301530219246	0.48757060107414946	0.9815949073078397	1
area	1544	1527	0	7	0.6522637085686206	0.6555076740339582	1	0.9968476045204486	0.652288758175538	0.6555328482224806	1	0.9968858875650543
away	1208	5	100	0	0.6355027012209816	0.9965093541137651	0.9586010381000218	1	0.6355271071363368	0.996547624168165	0.9586378523193009	1
back	3757	285	301	143	0.4108451344016542	0.8824393968021357	0.8802793550033299	0.9409898970348539	0.4108609125432026	0.8824732861013991	0.8803131613481113	0.9410260349139422
believe	1014	57	953	2	0.7094929367919983	0.969883424962018	0.7232468001647331	0.9985569825974592	0.7095201842364657	0.969920672471318	0.7232745758140761	0.9985953312892077
best	777	201	23	526	0.7423830924307878	0.9151925431299991	0.9900190016236613	0.8073169711008517	0.7424116029923954	0.915227690284682	0.9900570224218532	0.8073479753902489
big	2701	21	243	2381	0.47364295986916366	0.991332371731359	0.902441946737082	0.48911613287510847	0.4736611497052806	0.9913704429683604	0.9024766042164643	0.4891349169446566
bill	328	314	10	0	0.9203295867722892	0.922524066931184	0.9971809393898882	1	0.9203649312105588	0.9225594956465102	0.9972192352359226	1
business	629	460	3	158	0.8176166710445649	0.852200531078383	0.999118582727721	0.9450664135164977	0.8176480708847672	0.8522332590809345	0.9991569529872225	0.9451027079505715
central	53	1	1	48	0.9767310755656314	0.999329643608186	0.999695851132954	0.978251512679781	0.9767685860528554	0.9993680219732927	0.9997342435619345	0.9782890815580385
certain	733	2	17	706	0.7673788761673157	0.9993302580503438	0.9928205506323373	0.775272107035858	0.7674083466697401	0.9993686364390476	0.9928586790215242	0.7753018806707853
child	2551	2165	4	283	0.676753083542039	0.6822026024314366	0.9977966104298469	0.9535269747786854	0.6767790736415956	0.6822288018149136	0.9978349299201794	0.9535635941330808
come	5446	510	4528	263	0.32977048321663177	0.7916637638792768	0.3508173831178903	0.8807936134882334	0.32978314775839457	0.7916941670211892	0.35083085594710256	0.8808274395826541
consider	474	42	396	4	0.8338075290669537	0.9807271001248853	0.8570675440900646	0.9981966122731721	0.833839550702641	0.9807647640758742	0.857100459005917	0.9982349471252193
day	3082	2577	0	343	0.4784910454381103	0.49100079167009164	1	0.9445339993886305	0.4785094214606365	0.4910196481182826	1	0.9445702733758138
decide	789	110	655	10	0.7518777255904942	0.9581859824238816	0.7792554103185495	0.996445452129579	0.7519066007850337	0.958222780703317	0.7792853369286924	0.9964837197298801
different	2130	3	354	1705	0.5243736157067149	0.9986089029596125	0.8562543298970654	0.5795752724457467	0.5243937538084961	0.9986472536453163	0.8562872135821509	0.5795975305180004
difficult	380	0	320	54	0.8677407115547383	1	0.8859294282462133	0.977600203994795	0.8677740363640832	1	0.8859634515770266	0.9776377478601224
door	430	420	0	9	0.8658494585996553	0.8680331860208265	1	0.9964651142785597	0.8658827107771145	0.8680665220623928	1	0.9965033826339682
down	3369	1	264	10	0.45655475107541316	0.9992559105495084	0.891468317058296	0.9951852312683451	0.45657228465408767	0.9992942860829626	0.891502553105202	0.9952234504709863
end	1368	634	693	34	0.6135690333442401	0.7729543506451484	0.7664339945788248	0.9870085422820676	0.6135925969166113	0.7729840352687054	0.7664634287939132	0.9870464474662491
