item	frequency	GER	INF	MOD	PRED	PREDCXN	REF	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
able	1207	NaN	NaN	5	0	NaN	0	0.6502334702654822	1	1	0.9979674253491166	0.6502584419029054	1	1	0.998005751399444	
ahead	427	NaN	NaN	0	0	NaN	0	0.8496862763758154	1	1	1	0.8497189078206538	1	1	1	
anything	2458	NaN	NaN	0	0	NaN	2081	0.44883577816379916	0.4875518770784525	1	1	0.44885301530219235	0.4875706010741496	1	1	
area	1544	NaN	NaN	7	0	NaN	1527	0.6522637085686206	0.6555076740339583	1	0.9968476045204484	0.652288758175538	0.6555328482224807	1	0.996885887565054	
away	1208	NaN	NaN	0	0	NaN	5	0.6355027012209815	0.9965093541137651	1	1	0.6355271071363366	0.996547624168165	1	1	
back	3757	NaN	NaN	143	54	NaN	272	0.4108451344016542	0.8860809322876594	0.9738029514728925	0.9409898970348538	0.4108609125432026	0.8861149614368504	0.973840349508118	0.9410260349139421	
believe	1014	NaN	NaN	2	953	NaN	0	0.7094929367919978	1	0.723246800164733	0.9985569825974593	0.7095201842364651	1	0.723274575814076	0.9985953312892079	
best	777	NaN	NaN	526	0	NaN	201	0.7423830924307875	0.9151925431299988	1	0.8073169711008514	0.7424116029923951	0.9152276902846816	1	0.8073479753902487	
big	2701	NaN	NaN	2381	0	NaN	21	0.4736429598691638	0.991332371731359	1	0.48911613287510836	0.4736611497052808	0.9913704429683604	1	0.4891349169446565	
bill	328	NaN	NaN	0	10	NaN	310	0.9203295867722892	0.9231385090868318	0.9971809393898888	1	0.9203649312105588	0.9231739613992618	0.9972192352359233	1	
business	629	NaN	NaN	158	0	NaN	460	0.8176166710445649	0.8522005310783829	1	0.9450664135164977	0.8176480708847672	0.8522332590809344	1	0.9451027079505715	
central	53	NaN	NaN	48	0	NaN	1	0.9767310755656309	0.9993296436081861	1	0.9782515126797807	0.9767685860528549	0.9993680219732928	1	0.9782890815580382	
certain	733	NaN	NaN	706	0	NaN	2	0.7673788761673158	0.9993302580503435	1	0.7752721070358581	0.7674083466697402	0.9993686364390473	1	0.7753018806707854	
child	2551	NaN	NaN	283	0	NaN	2165	0.6767530835420386	0.6822026024314358	1	0.9535269747786855	0.6767790736415952	0.6822288018149129	1	0.9535635941330809	
come	5446	NaN	NaN	263	4528	NaN	64	0.3297704832166317	0.9686358001649756	0.35081738311788985	0.8807936134882327	0.3297831477583945	0.9686729997603563	0.3508308559471021	0.8808274395826534	
consider	474	NaN	NaN	4	336	NaN	0	0.8338075290669538	1	0.8738577904352856	0.9981966122731721	0.8338395507026412	1	0.8738913501655979	0.9982349471252193	
day	3082	NaN	NaN	343	0	NaN	2577	0.47849104543811044	0.49100079167009153	1	0.9445339993886305	0.4785094214606367	0.49101964811828247	1	0.9445702733758138	
decide	789	NaN	NaN	10	652	NaN	3	0.7518777255904942	0.9985880119263212	0.7800432490943495	0.996445452129579	0.7519066007850337	0.9986263618097235	0.7800732059607391	0.9964837197298801	
different	2130	NaN	NaN	1705	0	NaN	3	0.524373615706715	0.9986089029596122	1	0.5795752724457459	0.5243937538084962	0.998647253645316	1	0.5795975305179997	
difficult	380	NaN	NaN	54	0	NaN	0	0.8677407115547381	1	1	0.9776002039947947	0.867774036364083	1	1	0.9776377478601221	
door	430	NaN	NaN	9	0	NaN	420	0.8658494585996552	0.8680331860208265	1	0.9964651142785592	0.8658827107771144	0.8680665220623928	1	0.9965033826339678	
down	3369	NaN	NaN	10	0	NaN	1	0.4565547510754133	0.9992559105495084	1	0.9951852312683448	0.45657228465408783	0.9992942860829626	1	0.9952234504709859	
end	1368	NaN	NaN	34	693	NaN	604	0.6135690333442405	0.7807258122378498	0.7664339945788248	0.9870085422820676	0.6135925969166117	0.7807557953174691	0.7664634287939132	0.9870464474662491	
enjoy	1565	NaN	NaN	1	1485	NaN	0	0.6771130951605343	1	0.6858189403749518	0.9993308724924972	0.6771390990860165	1	0.6858452786406674	0.9993692509047981	
everybody	1228	NaN	NaN	0	120	NaN	1044	0.6352374117676943	0.6713840436681912	0.9385920365224405	1	0.6352618074948442	0.6714098275745523	0.938628082313831	1	
everything	1971	NaN	NaN	0	0	NaN	1960	0.5177070213967481	0.5197097886246879	1	1	0.517726903473911	0.5197297476163428	1	1	
fan	217	NaN	NaN	3	0	NaN	211	0.9417247698530098	0.9420332198151444	1	0.9984012215110042	0.9417609359542344	0.9420693977621151	1	0.998439564220887	
father	447	NaN	NaN	3	0	NaN	401	0.8673867928730838	0.8754928210114621	1	0.9989689660628228	0.867420104090497	0.8755264435336678	1	0.9990073305764295	
feel	2707	NaN	NaN	5	2382	NaN	73	0.5292679132412137	0.9705417997317956	0.5493740078408473	0.9974024457869991	0.5292882393041335	0.9705790725253923	0.5493951060604267	0.9974407501397895	
figure	577	NaN	NaN	5	384	NaN	50	0.7879627027967597	0.9767857609174845	0.8400980270454392	0.9977096668648227	0.7879929638027169	0.9768232735048507	0.8401302902621001	0.997747983016165	
first	2130	NaN	NaN	1346	0	NaN	177	0.4976423356876208	0.9256807635058215	1	0.6090164750635387	0.4976614471983957	0.9257163134512687	1	0.609039863798963	
five	2220	NaN	NaN	1224	0	NaN	141	0.5122864061025059	0.9382199917971962	1	0.6312063130497834	0.5123060800057653	0.9382560233005404	1	0.6312305539661764	
four	1756	NaN	NaN	1223	0	NaN	140	0.5779258688345899	0.9394688454785491	1	0.6598242111890628	0.5779480635629666	0.9395049249430069	1	0.659849551150351	
friend	1270	NaN	NaN	1	1	NaN	1237	0.6529831003369877	0.6582872631795039	0.9992989215004039	0.9996420874443345	0.6530081775715053	0.6583125441156724	0.9993372986856554	0.9996804778085685	
fun	912	NaN	NaN	149	0	NaN	266	0.7616774539667607	0.896216111594984	1	0.9432086476588973	0.7617067055111423	0.8962505299767115	1	0.9432448707471277	
good	6868	NaN	NaN	3888	0	NaN	196	0.3545522727891917	0.9247391309022915	1	0.40960309724929655	0.35456588905351605	0.9247746446851771	1	0.4096188276915141	
grow	1227	NaN	NaN	96	885	NaN	3	0.7011130938889057	0.9985284110372219	0.7572398196112393	0.9503260383688391	0.7011400195129682	0.9985667586317052	0.757268900732225	0.9503625347941219	
hard	1583	NaN	NaN	380	0	NaN	0	0.5871336629664116	1	1	0.868042402653161	0.5871562113119229	1	1	0.868075739048684	
hate	455	NaN	NaN	2	442	NaN	0	0.8404850939793482	1	0.8451982301257821	0.9987748023416378	0.84051737206097	1	0.8452306892112008	0.9988131593985597	
here	4859	NaN	NaN	0	5	NaN	451	0.42465575882181633	0.8414137085117136	0.9972405402789856	1	0.42467206734809787	0.8414460222559496	0.9972788384139392	1	
house	2159	NaN	NaN	98	3	NaN	1994	0.667889083682563	0.6820414475160802	0.9980906210013228	0.9635964528254342	0.6679147333680979	0.6820676407105462	0.9981289517828695	0.9636334588891675	
husband	1381	NaN	NaN	2	0	NaN	1281	0.6682180465716601	0.679112347938561	1	0.9986325589826055	0.6682437088907218	0.679138428643566	1	0.9986709105767978	
idea	826	NaN	NaN	1	0	NaN	823	0.7360336102239541	0.736646375573053	1	0.9997198143770237	0.7360618769393514	0.7366746658211579	1	0.9997582077262913	
important	590	NaN	NaN	151	0	NaN	2	0.8392358885873688	0.9991864785859217	1	0.9418593326850966	0.8392681186943698	0.9992248514529032	1	0.9418955039540868	
job	1283	NaN	NaN	94	0	NaN	1185	0.6926062237020734	0.7008438021346131	1	0.9711746751521132	0.6926328226273614	0.7008707174167655	1	0.971211972250727	
know	44687	NaN	NaN	51	11497	NaN	7	0.21370561862284987	0.997919806082055	0.26518387638651764	0.9770822292575833	0.21371382579683826	0.9979581303036069	0.2651940605371565	0.9771197532305521	
large	509	NaN	NaN	428	1	NaN	2	0.8451359990906256	0.9993317941557325	0.9994669714299732	0.8677023089200108	0.8451684557861168	0.999370172603429	0.9995053550690326	0.8677356322545366	
like	3768	NaN	NaN	0	3105	NaN	1	0.44660168627779206	0.99943071934279	0.5048107414640463	1	0.44661883761787574	0.9994691015896203	0.5048301282710619	1	
little	5654	NaN	NaN	4060	0	NaN	1345	0.3622140616501159	0.610420395326943	1	0.40948610797363477	0.36222797215861896	0.6104438379786749	1	0.40950183392298334	
live	3399	NaN	NaN	148	2626	NaN	132	0.48013501094643246	0.9461376934148685	0.5292423640069492	0.9375170699711359	0.4801534501039902	0.946174028990493	0.5292626890886735	0.9375530744793933	
look	3614	NaN	NaN	103	2713	NaN	89	0.4318363218688729	0.9654622064310576	0.4696072004299747	0.9448513587620201	0.4318529061582843	0.9654992841473968	0.4696252352763441	0.9448876449371076	
make	5711	NaN	NaN	91	4029	NaN	25	0.35167299272710384	0.9906638586660151	0.3869324047552239	0.9604314612816939	0.35168649841524124	0.9907019042293675	0.38694726454968337	0.9604683457967453	
man	933	NaN	NaN	16	1	NaN	752	0.7650835105176569	0.8047429558047112	0.9992067551770559	0.9941978227242206	0.7651128928686074	0.8047738612413431	0.9992451288227419	0.994236004006316	
manage	150	NaN	NaN	5	119	NaN	1	0.9428799211056265	0.9994199666050664	0.9526142209564697	0.9972691118392234	0.9429161315694062	0.9994583484389473	0.9526508052573673	0.9973074110714423	
money	2293	NaN	NaN	29	1	NaN	2220	0.6220411957191448	0.6252907671057049	0.999705989428522	0.9879904208467926	0.622065084657368	0.6253147808408235	0.9997443822468547	0.9880283637391462	
more	6191	NaN	NaN	3501	12	NaN	1294	0.3554577279481756	0.6059536719304204	0.9942561947290067	0.4287079758734153	0.355471378985699	0.6059769430416175	0.9942943782528268	0.4287244400214844	
move	1267	NaN	NaN	18	948	NaN	41	0.6781382781921252	0.9816235712299731	0.7375511540108394	0.9936411381312044	0.678164321488849	0.9816612696091366	0.7375794790061545	0.9936792980343235	
