item	gloss	aspect	frequency	rel_freq	flexibility	flexibility_broad	definite	ger	inf	mod	pred	precxn	ref	mod_rel	pred_rel	ref_rel	pred_rel_broad	ref_rel_broad	dispersion	dispersion_ref	dispersion_pred	dispersion_mod	dispersion_ref_broad	dispersion_pred_broad	dispersion_norm	dispersion_ref_norm	dispersion_pred_norm	dispersion_mod_norm
a		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.886252127766096	0.886252127766096	1	1	1	1	1	1	1	1
abhor		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.71512966856914	1	0.71512966856914	1	1	1	0.8069144729409107	1	0.8069144729409107	1
ability		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	0	0	1	0	0	0.10013016921998598	0	0	0.535195754480825	0.535195754480825	1	1	1	1	0.6038865664896621	0.6038865664896621	1	1
able		NULL	3	0.30039050765995795	0	0	0	0	0	0	0	3	0	0	0	0	0.30039050765995795	0	0.535195754480825	1	1	1	1	0.535195754480825	0.6038865664896621	1	1	1
act		NULL	1	0.10013016921998598	0	0	0	0	1	0	0	0	0	0	0	0	0	0.10013016921998598	0.8634224491839391	1	1	1	0.8634224491839391	1	0.9742401988475877	1	1	1
acute		NULL	1	0.10013016921998598	0	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0	0.8634224491839391	1	1	0.8634224491839391	1	1	0.9742401988475877	1	1	0.9742401988475877
admit		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.535195754480825	1	0.535195754480825	1	1	1	0.6038865664896621	1	0.6038865664896621	1
adulthood		NULL	2	0.20026033843997196	0	NaN	0	0	0	0	0	0	2	0	0	0.20026033843997196	0	0	0.71512966856914	0.71512966856914	1	1	1	1	0.8069144729409107	0.8069144729409107	1	1
affect		NULL	1	0.10013016921998598	0	NaN	0	0	0	0	1	0	0	0	0.10013016921998598	0	0	0	0.71512966856914	1	0.71512966856914	1	1	1	0.8069144729409107	1	0.8069144729409107	1
afraid		NULL	3	0.30039050765995795	0	0	0	0	0	0	0	3	0	0	0	0	0.30039050765995795	0	0.3817963352358065	1	1	1	1	0.3817963352358065	0.43079877979889275	1	1	1
