wordform	frequency	dispersion
know	47126	0.21866073758070953
one	12874	0.24907698955413607
think	18784	0.2877678634637759
right	16527	0.30124120346383815
time	7449	0.3137335004920373
something	6068	0.32416170230466074
thing	5192	0.32466697696705615
much	5815	0.3248489493615674
other	4824	0.33661113920808255
see	6485	0.3478403036270882
things	6569	0.35064841219446896
good	7972	0.3521584577553066
more	6460	0.3522480902369747
little	5813	0.35832952247466465
say	4132	0.3679927096438233
way	4065	0.3738709459592621
people	8847	0.376411823797911
two	4459	0.3767655094056208
years	4339	0.3943083935655773
back	3980	0.404196212283682
here	5599	0.41166933430613434
take	3510	0.4151496030762755
want	3612	0.41651406990627793
anything	2750	0.4254920504451424
real	3552	0.43292638398632594
make	2955	0.4368330001349198
pretty	3915	0.43858242262147207
never	3091	0.4394473475072095
down	3531	0.4477258383219795
come	2569	0.4493605223461018
like	3095	0.45521426743222143
said	3507	0.4642242740779525
three	2685	0.465600856676536
work	4414	0.4678435635199512
always	2898	0.46873793686181286
big	2796	0.4719269062908005
long	2250	0.47204525980918505
put	3111	0.4793080621125595
first	2248	0.4858283250421089
most	2346	0.4864231250538249
year	3574	0.48702653130540413
many	2231	0.49053643359445576
everything	2263	0.49307786756269684
five	2343	0.5027588183330907
same	2106	0.504912476850597
day	2620	0.510120642668503
stuff	3158	0.5104155039290095
different	2249	0.5154164187767206
last	2169	0.5170249116202406
thought	2144	0.517915046046823
whole	1770	0.5430212870620889
talking	1668	0.5446434551859427
look	1812	0.5547683803834778
old	2129	0.5578622817996479
need	2067	0.5580602674696576
true	2147	0.5589200232982329
nice	2524	0.5601781177006157
trying	1613	0.563583068043028
home	3360	0.5653024007242512
great	2009	0.56714846463097
having	1463	0.5680843662594732
far	1594	0.5685450356100733
couple	1472	0.5699537324639362
four	1844	0.570186264807368
fact	1446	0.5707287985730296
better	1577	0.5711886629647999
find	1688	0.5743358773932233
part	1578	0.5758307542678714
ago	1461	0.5762286555514508
tell	1562	0.5773638166504832
enough	1499	0.5784499555663333
hard	1675	0.5784825025788789
new	2243	0.5802441779018749
problem	1906	0.5862384560612139
keep	1612	0.5862910000107453
bad	1652	0.5889794698250154
feel	2024	0.5894174600210805
huh	1833	0.5903810734800743
try	1600	0.5926365242466546
quite	1555	0.5959633817566594
away	1393	0.599583956496718
seems	1731	0.5999389018740373
few	1317	0.6018914782971945
money	2584	0.6034836159450976
kids	3076	0.6064474492064115
times	1322	0.6067817484289437
again	1291	0.6091768056791239
live	1631	0.6096398629923216
sort	2177	0.6132317398811148
once	1309	0.614031544702193
started	1329	0.6161559672782633
came	1301	0.6168490327796697
place	1588	0.6176374285875916
made	1367	0.6207101016523194
somebody	1431	0.6211234431390731
