item	frequency	REF	PRED	MOD	dispersion	dispersionREF	dispersionPRED	dispersionMOD	dispersionNorm	dispersionREFNorm	dispersionPREDNorm	dispersionMODNorm	gloss
(č)iɬ	2	0	2	0	0.8362419316280182	1	0.8362419316280182	1	0.8425870167409371	1	0.8425870167409371	1	
??	12	1	2	0	0.637062714160491	0.9674874491991394	0.7836480994501555	1	0.6418965032719098	0.9748283752860413	0.7895941226062869	1	
[100 ton]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	[100 ton]
[6 years-ši(ƛ)-ʼaƛ-s]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	
[third year-k̓uk-ʼaƛ-uk]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	
[third year-ʼaƛ-uk-ʔi·š]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	
[three years-ʼaƛ-s-ʔa·ɬ]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	
[two year-ši(ƛ)-ʼaƛ]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	
[union man-či(ƛ)-ʼaƛ]	1	0	1	0	0.9158498685154195	1	0.9158498685154195	1	0.9227989883174755	1	0.9227989883174755	1	
[~]	2	0	0	0	0.9158498685154195	1	1	1	0.9227989883174755	1	1	1	
alberni	3	0	0	0	0.9158498685154195	1	1	1	0.9227989883174755	1	1	1	
a·s	2	0	2	0	0.8680372938082715	1	0.8680372938082715	1	0.8746236300132483	1	0.8746236300132483	1	??
a·sc̓a	1	0	1	0	0.9894812335644274	1	0.9894812335644274	1	0.9969890401059858	1	0.9969890401059858	1	
a·ʕatu	1	0	1	0	0.9566100884532632	1	0.9566100884532632	1	0.9638684812718296	1	0.9638684812718296	1	move.down
aɬa	1	0	1	0	0.9203920631125987	1	0.9203920631125987	1	0.9273756473563773	1	0.9273756473563773	1	add.on
cacak̓is	1	1	0	0	0.9894812335644274	0.9894812335644274	1	1	0.9969890401059858	0.9969890401059858	1	1	
captain	1	0	1	0	0.8856084150131484	1	0.8856084150131484	1	0.8923280741900517	1	0.8923280741900517	1	captain
