lexeme	frequency	dispersion
wik	0.18638132764168777	139
wa·	0.26140216482774387	274
ʔaḥʔaː	0.2797779872710296	106
qʷis	0.2900589688421388	60
qʷaː	0.29917349942424176	131
ʔuḥ	0.31232710631467503	28
ʔaḥ	0.31686873171453617	105
ƛaʔuː	0.337939278030122	20
quːʔas	0.34060113982816986	81
čuː	0.34517026589104044	72
huḥtak	0.3558376165431508	32
hiɬ	0.35633601994467395	56
ʔu-ca	0.3641027173479958	48
ʔin	0.36914066091689807	52
qiː	0.38006127092906916	27
ḥuːɬ	0.3852816957526495	15
y̓uːqʷaː	0.40362351012602016	42
yaqʷ-(č)iɬ	0.40727206493403	21
ʔaƛa	0.40806945863125627	11
n̓aːcsa	0.4097836480994502	32
haʔuk	0.410317270585021	28
ʔuːš-yuːya	0.41198808363522677	26
ʔaːḥʔasa	0.4128854888835764	10
huːʔak	0.42052395987041136	29
ʔana	0.42193677706467575	13
waː	0.4260278811536389	134
ʔaya	0.4277893514565759	35
ʔuyi	0.42968136334141593	28
ʔu-kʷiɬ	0.43143377958403056	16
c̓awaːk	0.4366995662716437	14
wik̓iːt	0.4380157781496534	25
huʔa-ca	0.4456591699001452	26
his-taq	0.44731054267272297	20
ʔu-na·k	0.44753423721867425	28
sut-(č)iɬ	0.4686184004854815	13
kʷis	0.474594972323875	13
mamaɬn̓i	0.4762580683719818	16
qum̓aː	0.4807554386803729	8
ʔac	0.4821898159215873	7
ḥuː	0.4890126703322973	25
qaḥ	0.4890852856801339	32
ʔiːqḥ	0.4942687821633931	19
haː	0.49730390203734687	9
ḥaː	0.504100447983037	23
ḥaːɬ	0.5063465500950559	21
n̓aːs	0.5111164236194119	7
nism̓a	0.5118227457457675	11
hiʔiːs	0.5137939278030121	10
hayim	0.5191549127420512	8
ciq	0.5212208144075224	15
qʷiyu	0.5216259953290792	13
yaqʷ	0.5231143915849867	16
n̓aːcsiː	0.529336429766743	14
wawaː	0.5317122098764149	23
ʔu-ʼi·c	0.5322535660211969	12
naʔaː	0.5323759434445544	21
ʔu-kɬa·	0.5420295299568548	21
ʔuːš	0.5478188658353988	19
ḥaw̓iɬ	0.5485161025921246	35
sukʷi(ƛ)	0.5528328950513985	22
ɬuːcma	0.5586134353334927	25
ʔu-n̓a·ḥ	0.5605269449022988	19
ʔiːḥ	0.5608415013148459	13
k̓ʷač	0.5608415013148459	6
qʷiq	0.5609411108454857	12
hist-ʼiƛ	0.5617977528089887	4
wiːy̓a	0.5626464260100407	20
hapt	0.5645469758546499	13
maḥt̓iː	0.5656028368794326	12
qiː-sasa	0.5663399474061678	5
čamiḥta	0.5663399474061678	6
hupaɬ	0.5683264460457862	21
t̓uḥc̓iti	0.5726015557476233	13
hin-in	0.5770977767152762	9
č̓apac	0.5771914635170673	37
hiš	0.5796079368874014	8
naʔa·	0.582898567029011	17
nay̓iːk	0.5833665365102133	18
ƛaḥ	0.5848029570238511	13
haʔum	0.585614391584987	8
ʔu-y̓i·ḥa	0.5888118575185274	7
his	0.589130608016575	12
muːɬ	0.5981353095864214	7
ʔunic	0.6013626583791538	9
čaːni	0.6102623171712342	11
ʔu-ktis	0.6124790819985656	7
ɬuːcsaːmiːḥ	0.6134353334927086	5
ʔaƛakʷaɬ	0.6143915849868515	8
ƛiḥ	0.6151600013660736	14
n̓up-či·ɬ	0.6194662378023601	11
ʔunw̓iːƛ	0.6198808363522685	13
hiɬ-ʼa·ʔa	0.6277791059048531	6
ƛuɬ	0.6307673918240498	7
kaƛḥ	0.6312933301458283	10
ƛawa-ʔiː	0.6316041118814248	7
yaːɬ	0.6318431747549605	7
naq	0.6352443874557192	11
dup-ʔu-ʼiːḥ	0.6362419316280181	10
??	0.637062714160491	12
c̓aʔak	0.6401227189417484	15
ʔana-ʼi·c	0.6404494382022473	4
ʔat	0.6411666268228544	9
su	0.6412861582596223	5
ḥaːʔak	0.6445135070523548	3
n̓uw̓iːqsu	0.6445135070523548	3
ʔuna-ḥ	0.6459478842935693	4
ʕac̓ik	0.6459478842935693	4
ḥamip	0.6496533588333732	7
qʷayac̓iːk	0.6524063765278205	63
t̓aːtn̓a	0.6526947698355778	9
hiːɬ	0.6546736791776238	6
ḥaːḥuːp	0.6567206550322736	16
ʕimti·	0.6576619650968205	6
t̓an̓a	0.6590299359842751	9
ʔu-ca-ḥta	0.6590311433725252	11
waɬ	0.6598135309586421	19
hiɬ-ʼatḥ	0.6601149580600568	23
ʔaqi-ʔišt	0.6603376303352398	13
ma-maɬ-n̓i·	0.6643557255558212	6
ʔuyaː-siɬa	0.6650729141764286	8
waʔič	0.6662682285441074	13
kʷis-siɬa	0.6706908917045182	6
qaɬaːtik	0.6706908917045185	5
ʔu-(k)tis	0.6737987090604829	3
t̓aps-ʼatu	0.673798709060483	4
t̓aps	0.673798709060483	12
ʔu-iːy̓ip	0.673798709060483	4
ʕimtiː	0.6752330863016974	5
nuːčyuː	0.6752330863016974	8
huʔa-aːs	0.6766674635429119	7
ʔana-iya	0.6770791829362235	18
ʔatḥ	0.6775041836002871	4
ʔunaḥ	0.679297155151805	5
ḥaːw̓iɬaƛ	0.6860727002780678	19
ḥaːw̓iːḥaƛ	0.6865885727946451	8
ʔaḥku·	0.6881424814726274	6
nuč-a·n̓uɬ	0.688501075782931	6
ʕaḥmis	0.69304327038011	4
ʔaːʔiːktaq	0.69304327038011	3
ʔac-yu·	0.6933847887708754	14
wik-yu·	0.693999521874253	3
qacc̓a	0.693999521874253	5
čačim	0.694887469690243	14
wik-sa	0.6965395649055702	8
ƛuːɬ	0.698541716471432	4
hin-aɬa	0.698541716471432	6
hicnup	0.6987807793449679	5
č̓aːstimc	0.7011315642680693	12
ʔan	0.7012560761813689	48
maːtmaːs	0.7029643796318432	5
hin-iːʔas	0.7029643796318432	7
ʔu-ḥʷʼaɬ	0.7042128190825299	18
niːw̓a	0.7047573511833612	8
maːmaːti	0.7084628257231652	6
ʔuqɬaːp	0.7100167344011475	3
ƛatw̓a	0.7100167344011477	4
yaːc	0.7103753287114511	16
tiːč	0.7194597179058092	5
muː-či·ɬ	0.7208940951470237	9
čakup	0.7209472202300315	18
ḥaːkʷaːƛ	0.7210136265837916	6
tuːḥuk	0.7213722208940953	4
ḥaʔu	0.7224480038250061	6
ƛawaː	0.7232847238823811	4
ʔaƛ-či·ɬ	0.7249581639971313	4
ʔu-qs	0.7251308205169071	9
ɬuč-na·k	0.7268706669854172	5
c̓iːq	0.7284245756633996	10
quː-ʼa·	0.7292612957207746	4
ƛaʔuːkʷiʔatḥ	0.7295003585943103	10
ƛ̓up	0.731651924456132	7
wič-siɬa	0.731651924456132	7
muː-p̓it-ʕaƛ	0.7318909873296676	6
ʔaːʔaːʔiša	0.7333253645708822	5
piḥ	0.7340956782744973	9
ʔu-(w)a(ƛ)	0.7354769304327039	7
qʷi-ʼi·c	0.7387042792254364	5
ʔu-(y)i·	0.7387042792254364	5
ḥaw̓iːḥ	0.738823810662204	5
muwač	0.7389433420989721	11
y̓ak	0.7418120965814011	4
ʔu-sa·ḥi	0.7428878795123117	5
ʔuːš-ckʷi·	0.7430074109490796	4
his-i·k	0.7432464738226154	9
ʔuːsuqta	0.7442027253167582	3
naʔi·qsu	0.7442027253167585	5
ʔutwiː	0.7443222567535263	4
yaq	0.7450394453741334	28
sa-štu·p	0.7458761654315085	6
hawiɬ-čaq	0.7482497182473277	14
ɬač	0.7495816399713124	5
ʔum̓aːck	0.7497011714080803	3
tup̓aɬ	0.7497011714080803	4
qʷis-ckʷi·	0.7497011714080805	4
mamuːk	0.7533414469823746	11
kamatq-ʼa·qƛ̓i(ƛ)	0.7534066459478842	3
wik-maɬ	0.7534066459478843	4
wik-ckʷi·	0.7534066459478844	2
ʔuːš-p̓aɬ	0.7534066459478844	2
yaqʷ-ḥʷʼaɬ	0.7534066459478844	2
k̓uː-ʔiː	0.7534066459478844	2
čims	0.7542433660052594	4
wik-stup	0.7546019603155629	4
muː	0.7547214917523309	7
ʔunack	0.7548410231890987	3
saya	0.7548410231890987	3
ʔink	0.7548410231890987	6
qʷi-ʕaƛ	0.7548410231890987	3
tiːčma	0.7548410231890987	3
ʕaʔuk	0.7548410231890987	4
huʔa-a·n̓uːƛ	0.7548410231890987	3
wik-maḥsa	0.7548410231890987	3
ʔu-cḥa	0.7548410231890988	2
ʔu-ʔiː-ʼas	0.7548410231890988	2
maːsuːɬ	0.7548410231890988	9
kuḥ	0.7548410231890988	5
ʕuy̓i	0.7548410231890988	4
p̓us	0.7548410231890988	2
čaʔak	0.7548410231890988	2
maʔas	0.7585464977289027	5
č̓aʔak	0.7586660291656706	4
dup-ʔu-(kʷ)ink	0.7589050920392064	2
ḥayu	0.7589050920392064	2
huːxsʔatu	0.7589050920392064	2
qaːy̓uːk̓ʷatḥ	0.7597418120965815	5
ʕiḥ	0.759980874970117	7
suč̓as	0.760100406406885	11
sus	0.7605785321539565	4
ʔu-aqsti·	0.7622519722687068	3
yaqʷ-wi·	0.7622519722687068	3
m̓uksy̓i	0.7632082237628496	11
waɬaːk	0.7675113554864929	8
kʷis-ca	0.767511355486493	9
nuːk	0.7675644805695009	9
qʷaːƛaː	0.7677504183600288	11
ʔuːš-cuk	0.7688262012909395	3
ʔuḥʔiːš	0.7690652641644752	4
kʷis-ut-a·qtu·	0.7726512072675112	3
mituːni	0.7726512072675112	3
wiːq-ḥap	0.7726512072675114	4
saya·	0.7726512072675114	4
ƛ̓ay̓ix	0.7726512072675114	6
ʔunaː	0.7726512072675114	3
naʔaː-ckʷi·	0.7726512072675115	2
niːyaː	0.7726512072675115	2
ʔiːḥ-camis	0.7726512072675115	2
hašiː	0.7726512072675115	2
ʔačaq-ʔišt	0.7726512072675115	2
ɬiʔaː	0.7726512072675115	2
yac-a·qtu·	0.7726512072675115	2
ʔaya-ʼatḥ	0.7726512072675115	2
ƛimk	0.7731293330145829	5
wim̓aːqƛ	0.7732488644513508	13
hiːtkin	0.7734879273248862	6
čaːkupiːḥ	0.774922304566101	3
ʔu-ḥta·	0.7756394931867081	7
k̓aḥ	0.7767152761176189	2
ka	0.7767152761176189	4
ʔuḥʔiš	0.7767152761176189	2
c̓aːḥ	0.7767152761176189	3
ʔuːna	0.7776715276117618	3
hita-ʼa·qƛ̓i(ƛ)	0.7781496533588332	3
ʔuxʷ-ʼas	0.7781496533588332	3
hiːkʷaɬ	0.7781496533588333	3
kʷis-caqc̓uː	0.7781496533588335	2
čačam	0.7781496533588335	2
hiɬ-ʼaḥs	0.7781496533588335	2
ʔana-siɬa	0.7799426249103515	7
ʕaːḥuːsʔatḥ	0.7817355964618694	11
ḥayu-či·ɬ	0.7836480994501553	3
qʷaq	0.7836480994501553	3
ʕuyaːs	0.7836480994501553	3
himwic̓a	0.7836480994501555	2
ʔukʷ-in	0.7836480994501555	2
qiː-(y)u·k̓ʷaɬ	0.7836480994501555	2
hiɬ-ačišt	0.7844848195075306	3
sukʷiƛ	0.7846043509442985	8
ʔumʔi·qsu	0.786263728537076	17
ciq-y̓akʷ	0.7874731054267272	7
ʔu-(w)aƛ	0.7881902940473344	3
quʔac-tu·p	0.7881902940473344	3
wik-ʼi(ƛ)	0.7881902940473344	3
ʔu-cpa·	0.7881902940473344	6
saya-ʔiː	0.7881902940473344	9
dup-ʔuːq	0.7881902940473345	2
qʷi-ʔiː	0.7881902940473345	4
dup-ʔu·q	0.7881902940473345	2
kʷiːsqšiƛ	0.7881902940473345	2
hita-inq-ʽsa(ƛ)	0.7881902940473345	4
ʕiːčnuː	0.7881902940473345	2
wik-cuk	0.788548888357638	6
kamatq	0.7918074192643101	23
ʔinkʷ	0.7926249103514224	20
nas	0.7928520200812814	6
mač	0.7942723348005233	17
ƛiːs	0.7965574946210854	3
kamatqʷ	0.8007410949079607	5
hap-tu·p	0.801458283528568	4
waːxniː	0.801458283528568	3
tuč̓iː	0.801458283528568	2
ʔaya-aːƛ	0.801458283528568	2
waɬ-yu·	0.801458283528568	3
qaːn̓im	0.801458283528568	4
ʔiːč̓im	0.8014582835285681	5
n̓uw̓i·qsu	0.802414535022711	11
ʕupnit	0.8028926607697824	3
kʷis-q	0.8028926607697824	4
t̓ašiːs	0.8028926607697824	3
m̓aːm̓i·qsu	0.8028926607697825	2
čamiḥta-ckʷi·	0.8028926607697825	2
t̓iqʷ-ʽiɬ	0.8050442266316042	5
ɬim̓aqsti	0.806000478125747	4
k̓ʷak̓ʷaƛ	0.806000478125747	6
ʔiːcʔiːqḥ	0.806000478125747	4
hač̓a	0.806000478125747	3
waːsi	0.806000478125747	3
ƛ̓aːʔaː	0.8060004781257472	2
hita-ʽsa(ƛ)	0.8060004781257472	6
yaqʷ-ʔič	0.8060004781257472	2
qʷiš	0.8060004781257472	2
č̓apac-iːɬ-w̓it̓as	0.80695672961989	2
ʔu-cuk	0.80695672961989	2
ʔaʔim	0.80695672961989	4
ʔu-ḥtin	0.8069567296198901	3
čimt̓a	0.8074348553669616	3
ʔu-ʔi·ya-ʔis	0.8074348553669616	2
ʔaʔum	0.8076739182404972	5
kuːčiɬ	0.8091082954817118	4
ʔiːḥʷ	0.8110207984699978	7
suːḥaː	0.8113793927803012	6
yac-panač	0.8119770499641407	6
wiːqsiː	0.8128137700215157	4
hiniːp	0.8205833134114273	6
ʔuʔumḥi	0.822615347836481	8
nay̓aqak	0.8235715993306241	4
nunuːk	0.8237462991228233	13
ʔiq	0.8240497250776955	6
č̓an̓iː	0.8244083193879991	3
