item,gloss,token_freq,rel_freq,dispersion,flexibility
afternoon,,4,0.401,0.399,0.000
animal,,5,0.501,0.335,0.455
anybody,,6,0.601,0.285,0.000
anything,,14,1.402,0.321,0.000
area,,6,0.601,0.421,0.000
arrive,,8,0.801,0.535,0.000
ask,,5,0.501,0.379,0.000
away,,7,0.701,0.392,0.000
back,,20,2.003,0.179,0.000
bad,,6,0.601,0.435,0.000
big,,8,0.801,0.410,0.000
book,,16,1.602,0.579,0.000
boy,,7,0.701,0.535,0.000
bring,,6,0.601,0.535,0.000
brother,,16,1.602,0.473,0.000
bullet,,5,0.501,0.535,0.000
call,,11,1.101,0.353,0.277
care,,4,0.401,0.421,0.000
chapeltique,,4,0.401,0.535,0.000
character,,6,0.601,0.715,0.000
charlotte,,8,0.801,0.761,0.000
child,,13,1.302,0.425,0.000
childhood,,4,0.401,0.715,0.631
choose,,4,0.401,0.601,0.000
college,,7,0.701,0.601,0.000
come,,64,6.408,0.242,0.131
comic,,4,0.401,0.715,0.512
cover,,6,0.601,0.535,0.000
cow,,7,0.701,0.535,0.000
cut,,7,0.701,0.535,0.000
dad,,6,0.601,0.298,0.000
daughter,,5,0.501,0.535,0.000
day,,11,1.101,0.308,0.000
decide,,5,0.501,0.686,0.000
die,,7,0.701,0.392,0.000
doctor,,4,0.401,0.613,0.000
door,,9,0.901,0.399,0.000
down,,7,0.701,0.421,0.000
end,,5,0.501,0.350,0.455
english,,4,0.401,0.579,0.512
everything,,12,1.202,0.280,0.000
experience,,6,0.601,0.465,0.579
fact,,4,0.401,0.465,0.000
fall,,4,0.401,0.535,0.000
family,,9,0.901,0.527,0.318
favorite,,17,1.702,0.715,0.551
fear,,4,0.401,0.250,0.000
feel,,12,1.202,0.636,0.000
find,,6,0.601,0.298,0.000
firefight,,5,0.501,0.535,0.000
first,,16,1.602,0.403,0.455
five,,6,0.601,0.399,0.410
food,,4,0.401,0.535,0.000
four,,10,1.001,0.299,0.622
freedom,,4,0.401,0.886,0.512
friend,,9,0.901,0.331,0.000
genie,,4,0.401,0.715,0.000
girl,,6,0.601,0.250,0.000
give,,7,0.701,0.421,0.000
go,,6,0.601,0.399,0.000
good,,6,0.601,0.715,0.613
