item,gloss,token_freq,rel_freq,dispersion,flexibility
čaːni,for.a.while,11,1.315,0.610,0.000
č̓aːstimc,mink,6,0.717,0.669,0.455
č̓aːstimc-m̓i·t,mink-son.of,19,2.271,0.868,0.000
č̓aːstimc-x-m̓i·t,mink-MINK-son.of,6,0.717,0.868,0.000
čačim,proper,13,1.554,0.689,0.247
č̓aḥ,adze,4,0.478,0.891,0.000
č̓aḥʷ,adze,8,0.956,0.891,0.000
čakup,man,18,2.152,0.721,0.000
č̓aɬč̓a,fingernail,4,0.478,0.916,0.000
čamaqƛ,take.time,4,0.478,0.891,0.000
čamiḥta,proper(ly),6,0.717,0.566,0.921
č̓apac,canoe,38,4.542,0.579,0.113
č̓apac-iːɬ,canoe-make,10,1.195,0.891,0.000
čapxʷ-cuw̓at,man-on.side.of,7,0.837,0.966,0.000
c̓awaːk,one,14,1.673,0.437,0.842
c̓ax,spear,4,0.478,0.920,0.512
c̓aʔak,river,15,1.793,0.640,0.357
č̓aʔak,water,4,0.478,0.759,0.000
č̓iːma,knife,8,0.956,0.925,0.000
c̓iːq,sing,11,1.315,0.728,0.277
čims,bear,4,0.478,0.754,0.000
ciq,speak,16,1.913,0.467,0.213
ciq-y̓akʷ,speak-instrument.for,7,0.837,0.787,0.373
č̓itaːpi,Chetarpe,4,0.478,0.886,0.000
č̓u,move,5,0.598,0.920,0.000
čuː,now.then,86,10.280,0.289,0.000
čuːwin,NAME,5,0.598,0.886,0.000
čukʷaː,come.here,6,0.717,0.877,0.000
čums,bear,4,0.478,0.975,0.000
č̓uš,suspecting,4,0.478,0.852,0.000
c̓us-ʼi·tap,dig-on.the.ground,4,0.478,0.990,0.000
c̓uʔičḥ,winter,4,0.478,0.916,0.512
ha,INTJ,8,0.956,0.956,0.000
haː,yes,15,1.793,0.549,0.631
ḥaː,there,24,2.869,0.473,0.559
ḥaːḥuːp,instructing,8,0.956,0.827,0.000
ḥaːḥuːp-(y)a·-y̓akʷ,teaching-DUR-thing.for,4,0.478,0.892,0.512
ḥaːkʷaːƛ,girl,6,0.717,0.721,0.000
ḥaːkʷa·ƛ,girl,24,2.869,0.868,0.158
ḥaːɬ,there,21,2.510,0.506,0.761
ḥaːw̓iːḥaƛ,young.men,8,0.956,0.687,0.000
ḥaːw̓iɬaƛ,young.man,19,2.271,0.686,0.306
ḥačw̓aḥs,bowl,5,0.598,0.978,0.000
ḥačxʷinƛ,go.deeper,4,0.478,0.920,0.000
ḥakum,queen,4,0.478,0.882,0.579
ḥamip,knowing,7,0.837,0.650,0.000
hapt,hide,12,1.434,0.597,0.261
hap-tu·p,fur-species,4,0.478,0.801,0.000
ḥaw̓iːḥ,chiefs,5,0.598,0.739,0.000
ḥaw̓iɬ,chief,35,4.184,0.549,0.417
hawiɬ-čaq,finish-done,14,1.673,0.748,0.000
hayim,not.knowing,7,0.837,0.512,0.000
haʔuk,eat,28,3.347,0.410,0.000
haʔukʷ,eat,4,0.478,0.842,0.000
haʔum,food,8,0.956,0.586,0.343
heː,INTJ,8,0.956,0.943,0.000
hiːhiːq-šaḥap,various-doing,4,0.478,0.912,0.000
hiːɬ,there.in.a.house,6,0.717,0.655,0.000
hiːnip,obtain,4,0.478,0.967,0.000
hiːtkin,strange,6,0.717,0.773,0.790
hicnup,couple,5,0.598,0.699,0.613
hiḥ,bask,4,0.478,0.920,0.000
hihiq-tu·p,various-things,7,0.837,0.925,0.000
hiɬ,there,52,6.216,0.393,0.606
hiɬ-ʼa·ʔa,here-on.the.rock,6,0.717,0.628,0.579
hiɬ-ʼatḥ,there-residing,22,2.630,0.656,0.363
hiɬ-yin,there-at.the.bow,11,1.315,0.891,0.277
hin-a·či(ƛ),there.MOM-go.out.to.meet,6,0.717,0.886,0.000
hin-aɬa,there.MOM-attach.on,6,0.717,0.699,0.000
hin-as,there.MOM-reaching.to,6,0.717,0.830,0.000
hiniːc,take.along,9,1.076,0.847,0.000
hiniːp,take.long,6,0.717,0.821,0.000
hin-iːʔas,there.MOM-go.out,7,0.837,0.703,0.000
hin-i·ʔatu,there.MOM-get.to.be.under.water,4,0.478,0.920,0.000
hin-in,there-come,9,1.076,0.577,0.000
hinusa,get.out.of.water,4,0.478,0.845,0.000
hin-ʔaɬ,there-aware.of,5,0.598,0.867,0.000
his,beat,8,0.956,0.643,0.000
hiš,all,8,0.956,0.580,0.985
hiš-caqs,all-side.of.canoe,5,0.598,0.891,0.455
his-i·k,there-going.along,9,1.076,0.743,0.625
hista-ʼi(ƛ),there-start.from,4,0.478,0.891,0.000
his-taq,there-come.from,19,2.271,0.432,0.188
