freq,ref,pred,mod,entropy
1,1,0,0,0
2,2,0,0,0
2,1,1,0,0.630929754
3,3,0,0,0
3,2,1,0,0.579380164
3,1,1,1,1
4,4,0,0,0
4,3,1,0,0.511859507
4,2,2,0,0.630929754
4,2,1,1,0.94639463
5,5,0,0,0
5,4,1,0,0.455485915
5,3,2,0,0.612601619
5,3,1,1,0.864973521
5,2,2,1,0.960229718
6,6,0,0,0
6,5,1,0,0.410118486
6,4,2,0,0.579380164
6,4,1,1,0.789690082
6,3,3,0,0.630929754
6,3,2,1,0.920619836
6,2,2,2,1
7,7,0,0,0
7,6,1,0,0.37330396
7,5,2,0,0.544568448
7,5,1,1,0.724834092
7,4,3,0,0.621609745
7,4,2,1,0.86991553
7,3,3,1,0.914100892
7,3,2,2,0.982141033
8,8,0,0,0
8,7,1,0,0.34295098
8,6,2,0,0.511859507
8,6,1,1,0.669591946
8,5,3,0,0.60218081
8,5,2,1,0.819448372
8,4,4,0,0.630929754
8,4,3,1,0.886859507
8,4,2,2,0.94639463
8,3,3,2,0.985056822
9,9,0,0,0
9,8,1,0,0.317520657
9,7,2,0,0.482159361
9,7,1,1,0.622365973
9,6,3,0,0.579380164
9,6,2,1,0.772506886
9,5,4,0,0.625299374
9,5,3,1,0.852792488
9,5,2,2,0.905712598
9,4,4,1,0.878347105
9,4,3,2,0.965633607
9,3,3,3,1
10,10,0,0,0
10,9,1,0,0.295903274
10,8,2,0,0.455485915
10,8,1,1,0.581671866
10,7,3,0,0.55603265
10,7,2,1,0.729846699
10,6,4,0,0.612601619
10,6,3,1,0.817345422
10,6,2,2,0.864973521
10,5,5,0,0.630929754
10,5,4,1,0.858672711
10,5,3,2,0.937230563
10,4,4,2,0.960229718
10,4,3,3,0.991159471
11,11,0,0,0
11,10,1,0,0.277291726
11,9,2,0,0.431580202
11,9,1,1,0.546294702
11,8,3,0,0.533357058
11,8,2,1,0.69136983
11,7,4,0,0.596645223
11,7,3,1,0.782775953
11,7,2,2,0.826074224
11,6,5,0,0.627163236
11,6,4,1,0.834202289
11,6,3,2,0.905618518
11,5,5,1,0.850864229
11,5,4,2,0.943188781
11,5,3,3,0.971306738
11,4,4,3,0.992215061
12,12,0,0,0
12,11,1,0,0.261089363
12,10,2,0,0.410118486
12,10,1,1,0.515273445
12,9,3,0,0.511859507
12,9,2,1,0.656704548
12,8,4,0,0.579380164
12,8,3,1,0.75
12,8,2,2,0.789690082
12,7,5,0,0.618228353
12,7,4,1,0.808014151
12,7,3,2,0.873479028
12,6,6,0,0.630929754
12,6,5,1,0.835988997
12,6,4,2,0.920619836
12,6,3,3,0.94639463
12,5,5,2,0.935893281
12,5,4,3,0.980834038
12,4,4,4,1
13,13,0,0,0
13,12,1,0,0.246847205
13,11,2,0,0.390786655
13,11,1,1,0.487852771
13,10,3,0,0.491715001
13,10,2,1,0.625418116
13,9,4,0,0.561837671
13,9,3,1,0.719332904
13,9,2,2,0.755969903
13,8,5,0,0.606472774
13,8,4,1,0.781659665
13,8,3,2,0.842088782
13,7,6,0,0.628234076
13,7,5,1,0.817519531
13,7,4,2,0.895640306
13,7,3,3,0.919432424
13,6,6,1,0.829243901
13,6,5,2,0.92146324
13,6,4,3,0.962947016
13,5,4,4,0.994737238
14,14,0,0,0
14,13,1,0,0.23422152
14,12,2,0,0.37330396
14,12,1,1,0.463436782
14,11,3,0,0.472941951
14,11,2,1,0.597094843
14,10,4,0,0.544568448
14,10,3,1,0.690814021
14,10,2,2,0.724834092
14,9,5,0,0.593254388
14,9,4,1,0.755927929
14,9,3,2,0.812040681
14,8,6,0,0.621609745
14,8,5,1,0.797374811
14,8,4,2,0.86991553
14,8,3,3,0.892008211
