wordform	frequency	dispersion
all	951	0.1989238088602503
right	364	0.38384502814070837
this	939	0.3073546699594672
is	956	0.2336731215085971
elissa	2	0.9936702199636152
adams	2	0.9884680729503391
and	8980	0.11863224962135137
you	3984	0.2380860665074636
've	264	0.4241095571796507
lived	151	0.42717085454138065
in	2754	0.11390974286615022
charlotte	130	0.6410259494380918
for--	1	0.9936702199636152
five	93	0.43325794763029735
years	267	0.39248578013932206
ok	297	0.40774258398410806
um	1853	0.35700259999164974
first	219	0.36269854493804693
thing	243	0.32255990577504645
i	7471	0.14703857936068168
want	215	0.33352746104013353
to	4883	0.10008952616421597
ask	55	0.5884071124256959
if	424	0.2885146132256554
remember	564	0.45026477249910446
any	263	0.3436799070315879
books	194	0.7140314386670192
that	4210	0.11992350237567187
read	367	0.6842046205136947
as	563	0.31301713835731837
a	4003	0.10049720907211672
child	88	0.5425729874711999
or	968	0.21505360160603107
either	42	0.6001535012826379
were	1131	0.22293906404079525
by	221	0.305884035603224
teacher	46	0.767091157853588
your	598	0.3691916276679961
parents	112	0.5324410176333163
grandparents	45	0.7022992019699329
really	643	0.29805549301319983
enjoying	6	0.9444302446211903
there	1207	0.20301456095509107
anything	212	0.3851141235539701
particular	77	0.6016915081130021
comes	56	0.7257788006423569
mind	43	0.6000430773297509
no	381	0.3170392630571914
nothing	71	0.5624434462921623
how	384	0.2793550675201595
about	1081	0.18262969194957376
stories	396	0.5513035058072719
uh	1707	0.37379602109061755
did	1049	0.18225097547482622
n't	1910	0.16047911139526494
but	1454	0.17709285845447753
know	1783	0.2907208044749718
people	398	0.3821396579102658
come	254	0.3015755766091777
up	883	0.20464040045397291
with	999	0.2005204073433389
mean	273	0.4115723400954417
told	255	0.38676545026755105
liked	77	0.5723312636304474
hearing	19	0.7932021269664665
when	888	0.20502730294155777
growing	58	0.5629538938939666
not	632	0.2356047811513301
can	340	0.3160361650335887
school	307	0.40161242298813343
everybody	132	0.3990373203247765
has	138	0.43626008033105124
stuff	205	0.5124233866566237
do	1499	0.2477166672505852
are	380	0.31237857502531563
always	300	0.3562138593616092
had	1475	0.1810167826620922
everything	161	0.4730458975745634
certain	30	0.7423223226233256
things	328	0.3541089633318189
more	197	0.40238367756223464
than	140	0.35296911144665666
others	12	0.8554073762234817
maybe	145	0.40312374221393177
english	25	0.8338153588629449
class	25	0.80454360932778
like	1481	0.3092182636733614
re	4	0.9130519763648117
recall	20	0.8835280379686566
well	657	0.27229363669190393
what	1021	0.2646098964294164
now	361	0.267611215678915
thanksgiving	11	0.9353139580921449
's	2219	0.20830905373601222
coming	90	0.453235638549346
families	17	0.7814346499075341
get	529	0.2593742873541667
together	99	0.5269215739964942
for	952	0.17084002490352784
christmas	51	0.7200300937984312
eating	18	0.8054607508532422
dinner	45	0.8052599486467567
just	1161	0.2320624083591777
talking	92	0.45979759477510423
family	284	0.4252278012821912
might	54	0.563254365610367
tell	318	0.34246829554557073
have	967	0.2095394141390467
happened	95	0.5438106927043066
the	6817	0.10610773074595223
past	21	0.7932873259059904
some	431	0.2992031056089054
make	159	0.34756013782748757
tells	24	0.8120016488500647
oh	373	0.3897816817819207
lot	375	0.3445944279893552
of	3385	0.13745813757250208
times	94	0.40935861833125037
we	2196	0.33103086006371324
sit	61	0.5692832928823226
around	225	0.32721818780185064
reminisce	2	0.9888990793502828
go	674	0.2453093923867125
back	462	0.2725212722356052
time	577	0.22790601670151106
one	783	0.19406910922444515
